

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
064.529  000.035  000.035: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-airline/autoload/airline/extensions/po.vim
064.651  000.054  000.054: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-airline/autoload/airline/extensions/wordcount.vim
064.807  000.092  000.092: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-airline/autoload/airline/extensions/tabline.vim
064.908  000.029  000.029: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-airline/autoload/airline/extensions/tabline/autoshow.vim
065.084  000.051  000.051: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-airline/autoload/airline/extensions/tabline/tabs.vim
065.282  000.092  000.092: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-airline/autoload/airline/extensions/tabline/buffers.vim
065.483  000.018  000.018: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-airline/autoload/airline/extensions/keymap.vim
065.802  000.021  000.021: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-airline/autoload/airline/extensions/searchcount.vim
066.736  000.021  000.021: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-devicons/autoload/airline/extensions/webdevicons.vim
071.814  000.031  000.031: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-airline/autoload/airline/themes.vim
073.349  001.655  001.624: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/gruvbox/autoload/airline/themes/gruvbox.vim
092.561  000.086  000.086: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-airline/autoload/airline/builder.vim
092.882  000.052  000.052: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-airline/autoload/airline/extensions/default.vim
134.059  000.102  000.102: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/ale/autoload/ale.vim
134.187  068.888: opening buffers
135.276  000.404  000.404: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-polyglot/autoload/polyglot/sleuth.vim
135.823  000.103  000.103: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-peekaboo/autoload/peekaboo.vim
136.898  000.038  000.038: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/fzf-session.vim/autoload/fzf_session.vim
137.194  000.069  000.069: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-gitgutter/autoload/gitgutter.vim
138.261  000.049  000.049: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/neomake/autoload/neomake/core.vim
138.580  000.618  000.569: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/neomake/autoload/neomake/utils.vim
138.684  001.064  000.446: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/neomake/autoload/neomake/highlights.vim
138.810  002.945: BufEnter autocommands
138.811  000.001: editing files in windows
139.411  000.483  000.483: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/YouCompleteMe/autoload/youcompleteme.vim
187.252  000.314  000.314: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-node-inspect/autoload/nodeinspect.vim
187.876  000.404  000.404: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-startify/autoload/startify.vim
188.029  000.034  000.034: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-airline/autoload/airline/extensions/tabline/buflist.vim
188.491  000.297  000.297: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-startify/autoload/startify/fortune.vim
209.028  000.253  000.253: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-startify/syntax/startify.vim
211.918  000.197  000.197: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/ale/autoload/ale/util.vim
271.849  131.056: VimEnter autocommands
271.850  000.001: before starting main loop
272.947  000.841  000.841: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/neomake/autoload/neomake.vim
273.464  000.148  000.148: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/ale/autoload/ale/linter.vim
274.817  000.066  000.066: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-airline/autoload/airline/extensions/tabline/ctrlspace.vim
274.933  000.058  000.058: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-airline/autoload/airline/extensions/tabline/tabws.vim
275.270  000.080  000.080: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-airline/autoload/airline/extensions/tabline/builder.vim
288.298  015.255: first screen update
288.299  000.001: --- VIM STARTED ---
